users,rpm,samples,http_200,http_503,other_http,sla_errors,error_rate,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,has_503,measured_throughput_rpm,jtl_file
1,20,30,30,0,0,0,0.00,333.83,317.50,383.70,398.80,426.59,435.00,false,20.70,stress_until_503_1users_20rpm.jtl
2,40,61,61,0,0,0,0.00,326.21,315.00,357.00,416.00,426.80,428.00,false,40.97,stress_until_503_2users_40rpm.jtl
3,60,92,92,0,0,0,0.00,343.26,341.00,382.90,401.80,420.08,431.00,false,61.63,stress_until_503_3users_60rpm.jtl
4,80,123,123,0,0,0,0.00,334.43,320.00,381.40,411.70,437.36,580.00,false,82.74,stress_until_503_4users_80rpm.jtl
5,100,154,154,0,0,0,0.00,348.71,330.50,414.00,426.40,441.41,448.00,false,103.00,stress_until_503_5users_100rpm.jtl
7,140,216,216,0,0,0,0.00,334.09,326.00,350.00,387.00,442.55,615.00,false,144.13,stress_until_503_7users_140rpm.jtl
10,200,308,308,0,0,1,0.32,337.41,331.00,344.30,365.50,466.25,633.00,false,205.54,stress_until_503_10users_200rpm.jtl
12,240,368,368,0,0,0,0.00,352.72,341.00,394.60,426.00,457.00,552.00,false,245.58,stress_until_503_12users_240rpm.jtl
16,320,489,489,0,0,0,0.00,354.28,350.00,365.00,386.60,450.12,464.00,false,326.30,stress_until_503_16users_320rpm.jtl
20,400,612,612,0,0,1,0.16,365.20,363.00,375.00,389.45,409.00,646.00,false,408.39,stress_until_503_20users_400rpm.jtl
24,480,732,732,0,0,0,0.00,386.28,384.00,417.00,420.00,436.00,448.00,false,488.50,stress_until_503_24users_480rpm.jtl
32,640,969,969,0,0,2,0.21,415.17,416.00,438.00,454.00,469.32,672.00,false,646.57,stress_until_503_32users_640rpm.jtl
40,800,1205,1205,0,0,0,0.00,453.77,459.00,480.00,491.00,504.00,569.00,false,804.20,stress_until_503_40users_800rpm.jtl
48,960,1434,1434,0,0,0,0.00,502.75,510.00,543.00,552.00,564.00,603.00,false,956.79,stress_until_503_48users_960rpm.jtl
56,1120,1662,1662,0,0,30,1.81,557.49,571.50,595.00,607.95,632.39,843.00,false,1109.34,stress_until_503_56users_1120rpm.jtl
64,1280,1888,1888,0,0,1577,83.53,626.40,646.00,669.00,682.00,706.00,897.00,false,1260.22,stress_until_503_64users_1280rpm.jtl
72,1440,2116,2116,0,0,1898,89.70,707.29,733.00,764.00,774.00,799.85,1009.00,false,1411.83,stress_until_503_72users_1440rpm.jtl
80,1600,2343,2343,0,0,2130,90.91,801.27,834.00,872.00,884.00,905.58,1112.00,false,1565.01,stress_until_503_80users_1600rpm.jtl
96,1920,2702,2702,0,0,2491,92.19,2063.91,2211.00,3154.80,3243.00,3340.99,3725.00,false,1805.06,stress_until_503_96users_1920rpm.jtl
112,2240,2777,2777,0,0,2568,92.47,2447.82,2559.00,3805.00,3969.00,4171.00,4755.00,false,1853.76,stress_until_503_112users_2240rpm.jtl
128,2560,2751,2749,0,2,2542,92.40,2857.14,2936.00,4819.00,5076.00,5121.00,6504.00,false,1866.37,stress_until_503_128users_2560rpm.jtl
144,2880,2811,2799,0,12,2601,92.53,3174.23,3378.00,5458.00,5712.00,6966.90,7481.00,false,1893.50,stress_until_503_144users_2880rpm.jtl
160,3200,2818,2799,0,19,2609,92.58,3564.52,3886.50,5873.00,6317.00,8317.00,8413.00,false,1890.85,stress_until_503_160users_3200rpm.jtl
176,3520,2826,2738,0,88,2617,92.60,3981.31,4243.00,6520.00,7230.00,8890.00,9457.00,false,1923.36,stress_until_503_176users_3520rpm.jtl
192,3840,2876,2819,0,57,2667,92.73,4215.53,4380.00,7047.00,7488.00,8994.00,9942.00,false,1936.01,stress_until_503_192users_3840rpm.jtl
208,4160,2900,2812,0,88,2695,92.93,4607.61,4745.00,7771.00,8679.00,10230.00,11156.00,false,1938.78,stress_until_503_208users_4160rpm.jtl
224,4480,2865,2761,0,104,2658,92.77,4975.93,5249.00,8250.40,9286.00,11184.00,11688.00,false,1936.62,stress_until_503_224users_4480rpm.jtl
240,4800,2887,2791,0,96,2678,92.76,5229.73,5789.00,8937.40,9497.60,10198.00,12175.00,false,1959.35,stress_until_503_240users_4800rpm.jtl
256,5120,3024,2848,0,176,2823,93.35,5542.11,6355.00,9229.30,10164.85,11059.00,12091.00,false,2020.27,stress_until_503_256users_5120rpm.jtl
272,5440,2929,2889,0,40,2719,92.83,5936.49,6233.00,10295.40,10538.00,11182.00,12390.00,false,1962.54,stress_until_503_272users_5440rpm.jtl
288,5760,2953,2816,0,137,2745,92.96,6132.04,6874.00,9821.00,10826.80,11824.48,11983.00,false,2018.29,stress_until_503_288users_5760rpm.jtl
304,6080,2963,2868,0,95,2755,92.98,6777.45,7218.00,11064.00,11710.00,13752.00,14955.00,false,2007.88,stress_until_503_304users_6080rpm.jtl
320,6400,2956,2782,0,174,2761,93.40,6968.08,7509.00,11992.00,12404.00,13466.00,14765.00,false,2009.63,stress_until_503_320users_6400rpm.jtl
336,6720,2900,2798,0,102,2695,92.93,7324.84,7792.00,12360.00,12589.00,13548.00,14305.00,false,1948.47,stress_until_503_336users_6720rpm.jtl
352,7040,2951,2796,0,155,2745,93.02,7722.94,7918.00,13221.00,13462.00,15258.00,15261.00,false,1983.42,stress_until_503_352users_7040rpm.jtl
353,7060,2841,2701,0,140,2660,93.63,7846.62,8179.00,13763.00,14358.00,15045.20,15335.00,false,1970.45,stress_until_503_353users_7060rpm.jtl
354,7080,3095,2871,0,224,2888,93.31,8077.37,8446.00,13143.00,15472.30,15491.06,18808.00,false,2092.11,stress_until_503_354users_7080rpm.jtl
355,7100,2943,2750,0,193,2738,93.03,7585.94,7787.00,14320.00,14567.00,14823.02,15887.00,false,1984.85,stress_until_503_355users_7100rpm.jtl
356,7120,2973,2783,0,190,2768,93.10,7922.94,8422.00,13541.00,13644.00,15124.00,16095.00,false,1996.82,stress_until_503_356users_7120rpm.jtl
357,7140,2851,2752,0,99,2646,92.81,7784.79,8188.00,13457.00,14919.00,16836.00,18563.00,false,1913.98,stress_until_503_357users_7140rpm.jtl
358,7160,2927,2807,0,120,2739,93.58,7697.85,8031.00,13046.40,13681.00,14393.00,15193.00,false,1954.31,stress_until_503_358users_7160rpm.jtl
359,7180,3001,2801,0,200,2799,93.27,7842.44,7659.00,14719.00,15327.00,16200.00,16401.00,false,2001.16,stress_until_503_359users_7180rpm.jtl
360,7200,2936,2807,0,129,2729,92.95,7879.47,7778.00,13728.00,14711.00,16026.00,16081.00,false,2057.44,stress_until_503_360users_7200rpm.jtl
361,7220,2959,2801,0,158,2753,93.04,8072.21,8009.00,13807.00,14192.10,16387.00,16391.00,false,2103.85,stress_until_503_361users_7220rpm.jtl
362,7240,2885,2692,0,193,2679,92.86,8221.87,8513.00,14876.60,15546.00,18495.00,18964.00,false,2095.49,stress_until_503_362users_7240rpm.jtl
363,7260,3016,2867,0,149,2809,93.14,7976.06,9015.50,12846.50,13444.00,14558.00,16151.00,false,2047.41,stress_until_503_363users_7260rpm.jtl
364,7280,2926,2804,0,122,2722,93.03,7992.03,8548.00,13505.00,14237.00,15149.00,18443.00,false,1980.51,stress_until_503_364users_7280rpm.jtl
365,7300,3008,2936,0,72,2802,93.15,8299.23,8079.00,13986.00,15093.00,16641.00,16828.00,false,2020.80,stress_until_503_365users_7300rpm.jtl
366,7320,3011,2811,7,193,2804,93.13,8324.51,8678.00,14260.00,15126.50,16445.00,17381.00,true,2048.42,stress_until_503_366users_7320rpm.jtl
368,7360,3099,2882,33,184,2894,93.38,8331.16,8648.00,13791.80,15387.00,18811.00,18926.00,true,2107.80,stress_until_503_368users_7360rpm.jtl
